Total number of words: 29290
Word Frequencies:
1. the: 1452
2. and: 960
3. of: 670
4. a: 669
5. to: 656
6. in: 486
7. his: 414
8. was: 408
9. he: 366
10. it: 301
11. that: 286
12. with: 267
13. I: 236
14. as: 221
15. had: 202
16. said: 196
17. have: 179
18. for: 176
19. Scrooge: 176
20. were: 170
21. on: 146
22. you: 146
23. not: 142
24. The: 141
25. at: 137
26. they: 137
27. be: 130
28. its: 122
29. by: 118
30. him: 117
31. upon: 115
32. all: 111
33. but: 105
34. is: 102
35. their: 101
36. He: 99
37. so: 97
38. from: 91
39. which: 89
40. this: 87
41. or: 86
42. "I: 84
43. would: 79
44. very: 78
45. if: 78
46. one: 75
47. It: 75
48. an: 75
49. there: 74
50. no: 74
51. up: 74
52. Scrooge.: 72
53. when: 69
54. my: 68
55. out: 65
56. been: 64
57. who: 62
58. could: 61
59. old: 61
60. little: 59
61. it,: 58
62. into: 58
63. Scrooge,: 58
64. what: 58
65. like: 58
66. me: 56
67. her: 56
68. man: 51
69. cried: 51
70. them: 50
71. about: 50
72. down: 50
73. Scrooge's: 47
74. are: 46
75. and,: 46
76. good: 45
77. your: 45
78. Christmas: 44
79. know: 43
80. But: 42
81. more: 42
82. than: 42
83. made: 42
84. she: 42
85. am: 41
86. before: 41
87. any: 41
88. Ghost: 41
89. might: 40
90. do: 40
91. it.: 39
92. see: 39
93. such: 38
94. some: 38
95. own: 38
96. came: 36
97. every: 35
98. time: 35
99. went: 35
100. Spirit: 35
101. never: 34
102. being: 34
103. him,: 34
104. don't: 33
105. did: 33
106. through: 32
107. And: 32
108. They: 32
109. A: 31
110. these: 31
111. great: 31
112. looked: 31
113. round: 29
114. two: 29
115. now: 29
116. Mrs.: 29
117. though: 28
118. how: 28
119. other: 28
120. him.: 28
121. where: 28
122. There: 27
123. has: 27
124. much: 27
125. another: 27
126. off: 27
127. nothing: 26
128. will: 26
129. himself: 26
130. "You: 26
131. ever: 25
132. hand: 25
133. should: 25
134. young: 25
135. Bob: 25
136. merry: 24
137. quite: 24
138. that,: 24
139. last: 24
140. Tiny: 23
141. people: 23
142. we: 23
143. only: 23
144. returned: 23
145. can: 22
146. put: 22
147. many: 22
148. sat: 22
149. light: 22
150. Ghost.: 22
151. first: 21
152. done: 21
153. must: 21
154. asked: 21
155. saw: 21
156. poor: 21
157. make: 20
158. If: 20
159. In: 20
160. hands: 20
161. knew: 20
162. come: 20
163. thought: 20
164. got: 20
165. looking: 20
166. Ghost,: 20
167. eyes: 19
168. say: 19
169. said,: 19
170. "What: 19
171. long: 19
172. left: 19
173. towards: 19
174. stood: 19
175. after: 18
176. face: 18
177. head: 18
178. "It's: 17
179. same: 17
180. again.: 17
181. without: 17
182. may: 17
183. think: 17
184. "and: 17
185. Cratchit: 17
186. life: 16
187. while: 16
188. back: 16
189. always: 16
190. over: 16
191. among: 16
192. door,: 16
193. until: 16
194. those: 15
195. pointed: 15
196. door: 15
197. room: 15
198. walked: 15
199. behind: 15
200. half: 15
201. each: 15
202. replied: 15
203. them,: 15
204. told: 15
205. kind: 15
206. "The: 14
207. whole: 14
208. heart: 14
209. our: 14
210. shall: 14
211. going: 14
212. dark: 14
213. When: 14
214. then: 14
215. hear: 14
